affiliation1,affiliation2,collaboration
60021726,60026532,96
60026532,60021726,96
60025278,60098464,73
60098464,60025278,73
60017366,60021293,71
60021293,60017366,71
60021726,60012708,49
60012708,60021726,49
60098464,60008592,45
60008592,60098464,45
60019118,60098464,43
60098464,60019118,43
60014966,60098464,42
60098464,60014966,42
60027950,60021726,40
60021726,60027950,40
60000745,60021726,40
60021726,60000745,40
60025272,60025997,34
60025997,60025272,34
60015424,60021726,34
60021726,60015424,34
60009253,60021293,32
60021293,60009253,32
60017366,60000745,32
60000745,60017366,32
60025038,60021726,32
60021726,60025038,32
60025084,60098464,31
60098464,60025084,31
60020273,60027561,30
60027561,60020273,30
60015481,60021726,29
60021726,60015481,29
60021726,60098463,27
60098463,60021726,27
60019647,60021726,26
60021726,60019647,26
60098464,60003970,26
60003970,60098464,26
60021726,60004923,26
60004923,60021726,26
60025038,60033010,25
60033010,60025038,25
60012708,60022195,25
60022195,60012708,25
60027950,60017366,23
60017366,60027950,23
60027950,60015543,23
60015543,60027950,23
60027363,60019499,23
60019499,60027363,23
60002798,60008592,22
60008592,60002798,22
60002668,60017161,22
60017161,60002668,22
60098463,60026532,22
60026532,60098463,22
60018008,60003269,22
60003269,60018008,22
60027950,60033010,21
60033010,60027950,21
60075274,60085104,21
60085104,60075274,21
60098464,60026532,21
60026532,60098464,21
60011048,60021293,21
60021293,60011048,21
60028333,60029420,21
60029420,60028333,21
60011362,60026553,21
60026553,60011362,21
60007776,60021726,20
60021726,60007776,20
60027950,60075274,20
60075274,60027950,20
60006191,60025038,20
60025038,60006191,20
60000256,60033241,20
60033241,60000256,20
60019647,60027950,20
60027950,60019647,20
60003398,60022195,20
60022195,60003398,20
60025038,60028873,20
60028873,60025038,20
60032179,60009253,19
60009253,60032179,19
60018353,60072347,19
60072347,60018353,19
60007776,60075274,19
60075274,60007776,19
60016969,60005429,19
60005429,60016969,19
60027950,60007776,19
60007776,60027950,19
60017366,60009253,19
60009253,60017366,19
60025038,60022195,19
60022195,60025038,19
60025272,60028928,19
60028928,60025272,19
60013983,60008592,19
60008592,60013983,19
60006824,60023256,19
60023256,60006824,19
60025038,60026532,18
60026532,60025038,18
60025272,60014256,18
60014256,60025272,18
60019647,60017366,18
60017366,60019647,18
60027950,60026532,18
60026532,60027950,18
60031101,60098463,18
60098463,60031101,18
60027950,60016849,18
60016849,60027950,18
60022403,60005681,18
60005681,60022403,18
60021293,60022403,17
60022403,60021293,17
60075274,60006191,17
60006191,60075274,17
60006191,60027950,17
60027950,60006191,17
60012708,60007776,17
60007776,60012708,17
60027950,60025038,17
60025038,60027950,17
60098464,60002798,17
60002798,60098464,17
60011048,60017366,17
60017366,60011048,17
60098464,60021726,17
60021726,60098464,17
60012708,60027950,17
60027950,60012708,17
60014171,60016849,17
60016849,60014171,17
60003269,60012708,17
60012708,60003269,17
60027950,60022195,17
60022195,60027950,17
60018491,60002798,16
60002798,60018491,16
60012708,60006191,16
60006191,60012708,16
60028868,60085207,16
60085207,60028868,16
60075274,60075273,16
60075273,60075274,16
60025084,60008592,16
60008592,60025084,16
60025278,60017161,16
60017161,60025278,16
60021726,60020304,16
60020304,60021726,16
60007903,60021726,16
60021726,60007903,16
60029278,60028609,16
60028609,60029278,16
60021726,60032179,15
60032179,60021726,15
60018933,60017161,15
60017161,60018933,15
60018038,60098464,15
60098464,60018038,15
60021726,60006191,15
60006191,60021726,15
60098464,60019499,15
60019499,60098464,15
60021293,60027950,15
60027950,60021293,15
60000745,60026532,15
60026532,60000745,15
60007903,60005681,14
60005681,60007903,14
60022403,60016849,14
60016849,60022403,14
60012708,60010574,14
60010574,60012708,14
60025278,60008592,14
60008592,60025278,14
60026532,60075274,14
60075274,60026532,14
60013372,60017366,14
60017366,60013372,14
60017366,60030162,14
60030162,60017366,14
60021726,60022195,14
60022195,60021726,14
60014966,60025278,14
60025278,60014966,14
60022195,60005455,14
60005455,60022195,14
60033010,60013372,14
60013372,60033010,14
60032325,60011001,14
60011001,60032325,14
60025038,60012708,14
60012708,60025038,14
60030318,60009254,14
60009254,60030318,14
60022195,60017366,14
60017366,60022195,14
