journal_name,publisher_name,authors,title,date,volume,issue,issn,first_page,last_page,keywords,author_info, affiliation_info
ACM Transactions on Database Systems (TODS),ACM,"Weddell, Grant E.",Reasoning about functional dependencies generalized for semantic data models,03/01/1992,17,1,0362-5915,32,64,constraint theory; functional dependencies; query optimization; semantic data models,"['Grant E. Weddell', '81100564363']","['Univ. of Waterloo, Waterloo, Ont., Canada', '60014171']","['algorithms', 'constraint theory', 'functional dependencies', 'normal forms', 'query optimization', 'query processing', 'schema and subschema', 'semantic data models', 'theory']"
ACM Transactions on Database Systems (TODS),ACM,"Law, Yan-Nei; Wang, Haixun; Zaniolo, Carlo",Relational languages and data models for continuous queries on sequences and data streams,05/01/2011,36,2,0362-5915,8,Null,Data streams; expressivity; queries,"['Yan-Nei Law', '81337491018', 'Haixun Wang', '81455605782', 'Carlo Zaniolo', '81100417054']","['Bioinformatics Institute, Singapore', '60023202', 'Microsoft Research Asia, China', '60098464', 'University of California Los Angeles', '60027550']","['data streams', 'design', 'expressivity', 'queries', 'theory']"
ACM Transactions on Database Systems (TODS),ACM,"Chen, I.-Min A.; Hull, Richard; McLeod, Dennis",An execution model for limited ambiguity rules and its application to derived data update,12/01/1995,20,4,0362-5915,365,413,active database systems; deltas on database states; derived data; limited ambiguity rules; semantic data models; update propagation,"['I.-Min A. Chen', '81543244956', 'Richard Hull', '81100351909', 'Dennis McLeod', '81100442212']","['Lawrence Berkeley Lab, Berkeley, CA', '60007174', 'Univ. of Colorado, Boulder', '60000221', 'Univ. of Southern California, Los Angeles', '60029311']","['active database systems', 'algorithms', 'data models', 'deltas on database states', 'derived data', 'design', 'languages', 'limited ambiguity rules', 'performance', 'query processing', 'semantic data models', 'theory', 'update propagation']"
ACM Transactions on Database Systems (TODS),ACM,"Chen, Peter Pin-Shan",The entity-relationship model—toward a unified view of data,03/01/1976,1,1,0362-5915,9,36,Data Base Task Group; data definition and manipulation; data integrity and consistency; data models; database design; entity set model; entity-relationship model; logigcal view of data; network model; relational model; semantics of data,"['Peter Pin-Shan Chen', '81350597608']","['Massachusetts Institute of Technology, Cambridge', '60022195']","['data base task group', 'data definition and manipulation', 'data integrity and consistency', 'data models', 'database design', 'design', 'entity set model', 'entity-relationship model', 'logigcal view of data', 'network model', 'relational databases', 'relational model', 'semantics of data']"
ACM Transactions on Database Systems (TODS),ACM,"Shneiderman, Ben",Improving the human factors aspect of database interactions,12/01/1978,3,4,0362-5915,417,439,data models; database systems; experimentation; human factors; natural language interfaces; psychology; query languages,"['Ben Shneiderman', '81100146468']","['Univ. of Maryland, College Park', '60020304']","['data models', 'data models', 'database systems', 'design', 'experimentation', 'experimentation', 'human factors', 'human factors', 'human factors', 'languages', 'natural language interfaces', 'psychology', 'query languages', 'query languages']"
ACM Transactions on Database Systems (TODS),ACM,"Katz, R. H.; Wong, E.",Decompiling CODASYL DML into retional queries,03/01/1982,7,1,0362-5915,1,23,decompilation; semantic data models,"['R. H. Katz', '81100416511', 'E. Wong', '81100189239']","['Univ. of California, Berkeley', '60025038', 'Univ. of California, Berkeley', '60025038']","['algorithms', 'data manipulation languages', 'decompilation', 'program translation', 'query languages', 'relational databases', 'semantic data models']"
ACM Transactions on Database Systems (TODS),ACM,"Shasha, Dennis; Wang, Tsong-Li",Optimizing equijoin queries in distributed databases where relations are hash partitioned,05/01/1991,16,2,0362-5915,279,308,NP-complete problems; equijoin; hashing; relational data models; spanning trees; systems,"['Dennis Shasha', '81100290016', 'Tsong-Li Wang', '81100212742']","['New York Univ., New York, NY', '60021784', 'New York Univ., New York, NY', '60021784']","['algorithms', 'distributed databases', 'distributed databases', 'equijoin', 'hashing', 'np-complete problems', 'performance', 'query processing', 'relational data models', 'spanning trees', 'systems', 'theory']"
ACM Transactions on Database Systems (TODS),ACM,"Gogolla, Martin; Hohenstein, Uwe",Towards a semantic view of an extended entity-relationship model,09/01/1991,16,3,0362-5915,369,416,abstract data type; aggregate function; calculus; entity-relationship model; formal semantics; relational completeness; safeness; semantic data model,"['Martin Gogolla', '81100380036', 'Uwe Hohenstein', '81100571346']","['Technische Univ. Braunschweig, Brunswick, Germany', '60007902', 'Siemens AG, Munich, Germany', '60028673']","['abstract data type', 'aggregate function', 'calculus', 'data models', 'design', 'entity-relationship model', 'formal semantics', 'languages', 'query languages', 'relational completeness', 'safeness', 'semantic data model', 'semantics', 'specification techniques', 'theory']"
ACM Transactions on Database Systems (TODS),ACM,"Wand, Yair; Storey, Veda C.; Weber, Ron",An ontological analysis of the relationship construct in conceptual modeling,12/01/1999,24,4,0362-5915,494,528,conceptual modeling; database design; entity-relationship model; object-oriented modeling; ontology; semantic data modeling,"['Yair Wand', '81100071963', 'Veda C. Storey', '81100376761', 'Ron Weber', '81100650034']","['Univ. of British Columbia, Vancouver, B.C., Canada', '60010365', 'Georgia State Univ., Atlanta', '60012387', 'Univ. of Queensland, Australia', '60031004']","['conceptual modeling', 'data models', 'database design', 'design', 'entity-relationship model', 'object-oriented modeling', 'ontology', 'semantic data modeling', 'systems analysis and design', 'theory']"
ACM Transactions on Database Systems (TODS),ACM,"Hurtado, Carlos A.; Gutierrez, Claudio; Mendelzon, Alberto O.",Capturing summarizability with integrity constraints in OLAP,09/01/2005,30,3,0362-5915,854,886,OLAP; data warehousing; integrity constraints; query-optimization; summarizability,"['Carlos A. Hurtado', '81100126587', 'Claudio Gutierrez', '81100022520', 'Alberto O. Mendelzon', '81100058787']","['Universidad de Chile, Chile, C. P', '60012464', 'Universidad de Chile, Chile, C. P', '60012464', 'University of Toronto', '60016849']","['data models', 'data warehousing', 'integrity constraints', 'olap', 'query-optimization', 'schema and subschema', 'summarizability']"
ACM Transactions on Database Systems (TODS),ACM,"Rabitti, Fausto; Bertino, Elisa; Kim, Won; Woelk, Darrell",A model of authorization for next-generation database systems,03/01/1991,16,1,0362-5915,88,131,object-oriented database; semantic database,"['Fausto Rabitti', '81100206490', 'Elisa Bertino', '81409594658', 'Won Kim', '81414607972', 'Darrell Woelk', '81100290861']","['Microelectronics and Computer Technology Corp.', '60001704', 'Microelectronics and Computer Technology Corp.', '60001704', 'Microelectronics and Computer Technology Corp.', '60001704', 'Microelectronics and Computer Technology Corp.', '60001704']","['data models', 'design', 'object-oriented database', 'security', 'security, integrity, and protection', 'semantic database', 'theory']"
ACM Transactions on Database Systems (TODS),ACM,"Fletcher, George H. L.; Van Den Bussche, Jan; Van Gucht, Dirk; Vansummeren, Stijn",Towards a theory of search queries,11/01/2010,35,4,0362-5915,28,Null,Dataspaces; genericity; search,"['George H. L. Fletcher', '81100337680', 'Jan Van Den Bussche', '81452617021', 'Dirk Van Gucht', '81100432282', 'Stijn Vansummeren', '81324494716']","['Eindhoven University of Technology, The Netherlands', '60032882', 'Hasselt University and Transnational University of Limburg, Belgium', '60010413', 'Indiana University, Bloomington', '60021121', 'Université Libre de Bruxelles, Belgium', '60000145']","['data models', 'dataspaces', 'design', 'genericity', 'languages', 'modal logic', 'query languages', 'search', 'theory']"
